_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
7.594391875,-23.78768034,2381,00 30 22.67,-23 47 15.8,5.17,7.59446346,-23.78771429,18.08,-26.95,13.97,0.9,0.128, ,7.59439188,-23.78768034
7.608823909,-48.2149104,2383,00 30 25.97,-48 12 52.9,5.67,7.60822774,-48.21469821,22.19,163.44,-87.3,0.67,0.367, ,7.60882391,-48.2149104
7.854086315,-48.80351439,2472,00 31 24.86,-48 48 12.8,4.76,7.85356695,-48.80356171,18.97,140.74,19.47,0.64,0.018, ,7.85408632,-48.80351439
7.856832327,33.58164217,2475,00 31 25.61,+33 34 54.1,5.88,7.85668759,33.58168169,6.98,49.61,-16.26,0.79,1.133, ,7.85683233,33.58164217
7.886110867,-62.95821764,2484,00 31 32.56,-62 57 29.1,4.36,7.88566992,-62.95808549,23.35,82.48,-54.37,0.52,-0.064, ,7.88611087,-62.95821764
7.889450448,-62.96556114,2487,00 31 33.36,-62 57 55.6,4.53,7.88898014,-62.96544985,18.95,87.95,-45.79,4.35,0.147, ,7.88945045,-62.96556114
7.921489705,52.8395265,2497,00 31 41.21,+52 50 22.4,5.59,7.92171234,52.83955844,8.29,-55.33,-13.14,0.68,1.163, ,7.9214897,52.8395265
7.94316214,54.52228873,2505,00 31 46.32,+54 31 20.4,4.74,7.94299136,54.52232473,9.2,40.78,-14.81,1.06,-0.098, ,7.94316214,54.52228873
8.099091494,6.955463214,2548,00 32 23.75,+06 57 19.6,5.69,8.09897908,6.95545461,12.36,45.91,3.54,0.8,-0.014,D,8.09909149,6.95546321
8.147857983,20.29431643,2568,00 32 35.40,+20 17 40.0,5.38,8.14750345,20.29443334,12.69,136.81,-48.1,0.72,1.069, ,8.14785798,20.29431643
8.182937865,-63.03149984,2578,00 32 43.79,-63 01 53.0,5.07,8.18247614,-63.03137868,21.52,86.15,-49.85,0.49,0.038, ,8.18293786,-63.03149984
8.249965222,62.93178271,2599,00 32 59.99,+62 55 54.4,4.17,8.24994391,62.93178781,0.79,3.99,-2.1,0.52,0.13, ,8.24996522,62.93178271
8.293310862,54.89498495,2611,00 33 10.32,+54 53 42.3,5.93,8.29301467,54.89508062,8.68,70.08,-39.36,0.71,1.037, ,8.29331086,54.89498495
8.421010034,-29.5582782,2661,00 33 41.06,-29 33 29.5,5.55,8.42108802,-29.55820696,6.56,-27.91,-29.31,0.71,1.262, ,8.42101003,-29.5582782
8.615969514,-52.37309007,2711,00 34 27.62,-52 22 23.5,5.57,8.61506261,-52.37318294,39.03,227.8,38.21,0.62,0.472, ,8.61596951,-52.37309007
8.81199674,-3.592846492,2762,00 35 14.64,-03 35 33.9,5.2,8.8110039,-3.59275785,47.51,407.68,-36.47,1.15,0.567, ,8.81199674,-3.59284649
8.886805998,-0.505609629,2787,00 35 32.75,-00 30 19.7,5.94,8.88645754,-0.50545908,17.97,143.36,-61.94,0.74,0.444, ,8.886806,-0.50560963
8.921566545,-48.00090673,2802,00 35 41.13,-48 00 02.4,5.51,8.92139531,-48.00066027,27.61,47.14,-101.4,0.77,0.461, ,8.92156654,-48.00090673
9.034626811,54.16845015,2854,00 36 08.29,+54 10 06.4,5.08,9.0345314,54.16845384,6.45,22.98,-1.52,0.63,-0.098, ,9.03462681,54.16845015
9.113939724,60.32621461,2876,00 36 27.34,+60 19 34.4,5.78,9.11392475,60.32621728,0.97,3.05,-1.1,0.59,0.294, ,9.11393972,60.32621461
9.193504161,44.48858693,2900,00 36 46.47,+44 29 18.6,5.14,9.1936292,44.48850971,4.97,-36.7,31.77,0.78,1.587,P,9.19350416,44.48858693
9.197134612,15.23172547,2903,00 36 47.31,+15 13 54.3,5.89,9.19713232,15.23175994,3.81,0.91,-14.18,0.71,-0.146, ,9.19713461,15.23172547
9.220206895,33.71934362,2912,00 36 52.84,+33 43 09.7,4.34,9.22016239,33.71935227,4.97,15.23,-3.56,0.82,-0.123, ,9.22020689,33.71934362
9.24285251,53.89690937,2920,00 36 58.27,+53 53 49.0,3.69,9.24277921,53.89693161,5.46,17.77,-9.15,0.61,-0.196, ,9.24285251,53.89690937
9.336252743,-24.76726709,2941,00 37 19.79,-24 46 02.0,5.57,9.33244613,-24.76722545,64.38,1422.09,-17.15,1.4,0.715, ,9.33625274,-24.76726709
9.338414208,35.39950145,2942,00 37 21.23,+35 23 58.2,5.45,9.33844167,35.39951013,3.19,-9.21,-3.57,0.77,0.886, ,9.33841421,35.39950145
9.638940775,29.31175144,3031,00 38 33.50,+29 18 44.5,4.34,9.63958024,29.312369,19.34,-229.41,-254.08,0.76,0.871, ,9.63894077,29.31175144
9.79122542,49.35458862,3083,00 39 09.89,+49 21 16.5,5.45,9.79119583,49.35459528,2.45,7.93,-2.74,0.68,1.644, ,9.79122542,49.35458862
9.831982363,30.86102393,3092,00 39 19.60,+30 51 40.4,3.27,9.83165567,30.86122579,32.19,115.38,-83.05,0.68,1.268, ,9.83198236,30.86102393
9.840858655,21.25047245,3093,00 39 22.09,+21 15 04.9,5.88,9.84206107,21.2513739,90.03,-461.07,-370.88,0.72,0.85, ,9.84085866,21.25047245
9.981548996,21.4384951,3138,00 39 55.55,+21 26 18.8,5.36,9.98147468,21.4385644,7.94,28.46,-28.51,0.79,1.16, ,9.981549,21.4384951
10.10695771,-59.45460432,3170,00 40 24.66,-59 27 20.5,5.89,10.10273354,-59.45568115,39.26,883.26,443.01,0.56,0.564, ,10.10695771,-59.45460432
10.12683548,56.53733109,3179,00 40 30.39,+56 32 14.7,2.24,10.12661349,56.53740928,14.27,50.36,-32.17,0.57,1.17, ,10.12683548,56.53733109
10.17655087,-4.351840704,3193,00 40 42.38,-04 21 06.5,5.9,10.17658814,-4.35180551,5.66,-15.29,-14.48,0.94,1.091, ,10.17655087,-4.3518407
10.2799355,39.45866407,3231,00 41 07.20,+39 27 31.2,5.3,10.27998074,39.45867141,9.47,-14.37,-3.02,0.81,0.891, ,10.2799355,39.45866407
10.33146537,-46.08500681,3245,00 41 19.58,-46 05 06.0,4.59,10.33156671,-46.08500934,13.19,-28.92,1.04,0.67,0.953, ,10.33146537,-46.08500681
10.44332165,-56.50131553,3277,00 41 46.30,-56 30 05.2,5.72,10.44292464,-56.50145475,15.29,90.15,57.28,0.58,0.131, ,10.44332165,-56.50131553
10.51425676,66.14759233,3299,00 42 03.44,+66 08 51.4,5.83,10.5143156,66.14761311,6.48,-9.79,-8.55,0.58,1.042, ,10.51425676,66.14759233
10.51623134,50.51252576,3300,00 42 03.88,+50 30 45.1,4.8,10.51618425,50.51254151,2.94,12.32,-6.48,0.73,-0.105, ,10.51623134,50.51252576
10.61822148,-65.46803008,3330,00 42 28.30,-65 28 05.3,5.38,10.61790472,-65.46813002,24.59,54.11,41.12,0.51,0.515, ,10.61822148,-65.46803008
10.67479109,-60.26280759,3352,00 42 41.64,-60 15 45.7,5.99,10.67349903,-60.26268184,13.73,263.68,-51.74,0.58,1.318, ,10.67479109,-60.26280759
10.83849351,-57.46305996,3405,00 43 21.24,-57 27 47.2,4.36,10.83851683,-57.46309763,13.57,-5.16,15.5,0.57,0.024, ,10.83849351,-57.46305996
10.86695727,47.02454625,3414,00 43 28.09,+47 01 28.7,4.95,10.8670447,47.02463657,18.71,-24.52,-37.16,0.73,0.17, ,10.86695727,47.02454625
10.8973794,-17.9866046,3419,00 43 35.23,-17 59 12.1,2.04,10.89678452,-17.9866841,34.04,232.79,32.71,0.82,1.019, ,10.8973794,-17.9866046
11.04750551,-10.60955044,3455,00 44 11.41,-10 36 33.4,4.77,11.04752272,-10.60927365,15.54,-6.96,-113.88,0.82,0.998, ,11.04750551,-10.60955044
11.05041376,-38.42168566,3456,00 44 11.92,-38 25 19.1,5.9,11.04964742,-38.42197898,8.76,247.02,120.68,0.72,1.144, ,11.05041376,-38.42168566
11.10913203,47.86398376,3478,00 44 26.23,+47 51 50.3,5.66,11.10927611,47.863963,4.29,-39.77,8.54,0.7,-0.113, ,11.10913203,47.86398376
11.1813238,48.2843641,3504,00 44 43.50,+48 17 03.8,4.48,11.18125882,48.28438262,3.6,17.79,-7.62,0.82,-0.069, ,11.1813238,48.2843641
11.18498226,-22.00613523,3505,00 44 44.44,-22 00 22.8,5.22,11.18515547,-22.00633247,35.92,-66.07,81.15,0.69,0.35, ,11.18498226,-22.00613523
11.23772103,-42.67655849,3521,00 44 57.12,-42 40 34.8,5.94,11.23801546,-42.67632489,15.01,-89.06,-96.11,0.71,0.297, ,11.23772103,-42.67655849
11.32156044,55.22139572,3544,00 45 17.20,+55 13 17.1,5.41,11.32168124,55.2214087,9.28,-28.35,-5.34,0.65,0.022, ,11.32156044,55.22139572
